date,label
2026-04-13,cancelled
2025-11-30,delayed
2026-01-12,delayed
2026-04-18,cancelled
2024-05-27,delayed
2026-02-10,delayed
2025-01-21,delayed
2026-04-19,cancelled
2025-11-28,cancelled
2025-04-22,delayed
2025-03-01,delayed
2024-05-01,delayed
2024-11-27,cancelled
2026-01-08,delayed
2024-11-14,cancelled
2024-05-30,delayed
2026-01-09,delayed
2026-01-27,delayed
2026-01-05,delayed
2025-10-15,delayed
2025-03-13,delayed
2025-01-20,delayed
2024-11-20,delayed
2025-07-01,delayed
2024-09-05,delayed
2025-02-13,unknown
2024-10-03,delayed
2025-12-24,delayed
2024-05-24,delayed
2024-09-26,delayed
2025-01-06,delayed
2024-03-25,delayed
2024-08-03,delayed
2026-04-01,cancelled
2025-04-24,delayed
2025-03-12,delayed
2025-12-19,delayed
2025-01-17,delayed
2025-07-02,delayed
2025-02-09,delayed
2024-05-14,delayed
2024-04-04,delayed
2025-11-23,delayed
2024-08-26,delayed
2025-04-12,delayed
2026-03-24,delayed
2024-02-16,delayed
2025-01-09,delayed
2025-03-14,delayed
2026-03-10,delayed
2025-06-21,delayed
2025-03-17,delayed
2025-07-20,delayed
2024-02-24,delayed
2025-08-12,delayed
2025-12-06,delayed
2024-05-29,delayed
2024-11-16,delayed
2025-11-21,delayed
2024-11-26,cancelled
2024-01-18,delayed
2026-03-18,delayed
2024-02-14,delayed
2026-02-09,delayed
2025-10-24,delayed
2025-12-01,delayed
2026-03-21,cancelled
2025-02-16,delayed
2025-02-07,delayed
2025-06-12,delayed
2024-04-19,delayed
2026-02-27,delayed
2024-07-18,delayed
2024-05-06,delayed
2026-01-30,delayed
2025-09-07,delayed
2024-06-04,delayed
2026-03-09,delayed
2024-12-04,delayed
2025-08-11,delayed
2024-10-24,delayed
2025-07-30,cancelled
2024-08-10,delayed
2025-10-28,delayed
2024-12-08,delayed
2024-10-01,delayed
2025-11-10,delayed
2025-10-16,delayed
2024-01-15,delayed
2026-04-15,unknown
2024-12-10,delayed
2025-03-05,delayed
2025-06-29,cancelled
2024-09-03,delayed
2026-01-28,delayed
2024-05-16,delayed
2024-03-13,delayed
2024-09-02,delayed
2026-01-29,delayed
2026-02-26,delayed
2026-02-24,delayed
2024-10-17,delayed
2026-01-22,delayed
2024-04-15,delayed
2024-10-23,delayed
2024-05-21,delayed
2024-12-05,delayed
2025-04-17,delayed
2025-08-14,delayed
2025-06-27,delayed
2025-06-22,delayed
2024-11-06,delayed
2024-10-14,delayed
2026-04-14,cancelled
2025-12-23,delayed
2025-11-26,delayed
2024-06-02,cancelled
2024-10-22,delayed
2025-08-26,delayed
2024-03-17,delayed
2024-07-27,cancelled
2025-07-22,cancelled
2026-02-16,delayed
2025-06-02,delayed
2026-04-09,delayed
2025-03-11,delayed
2024-02-04,delayed
2025-10-22,delayed
2024-05-12,cancelled
2025-09-26,delayed
2025-09-18,delayed
2025-01-31,delayed
2025-09-09,delayed
2024-11-17,delayed
2024-03-16,delayed
2025-07-24,delayed
2024-01-20,delayed
2025-08-28,delayed
2024-10-10,delayed
2024-02-09,delayed
2024-02-28,delayed
2025-11-16,delayed
2026-01-13,delayed
2024-12-23,delayed
2025-09-19,cancelled
2026-03-06,delayed
2024-02-13,delayed
2024-09-20,delayed
2024-07-24,delayed
2024-07-15,delayed
2026-02-19,cancelled
2024-11-28,delayed
2025-01-05,delayed
2024-04-25,delayed
2024-04-16,delayed
2025-02-02,delayed
2024-02-23,delayed
2024-11-22,delayed
2026-02-23,delayed
2025-09-17,delayed
2025-11-02,delayed
2024-07-03,delayed
2025-04-02,delayed
2026-03-17,delayed
2025-06-17,delayed
2025-09-05,delayed
2024-09-12,delayed
2024-09-09,delayed
2024-09-19,delayed
2025-10-18,delayed
2024-01-25,delayed
2026-04-16,unknown
2024-08-29,delayed
2024-08-17,delayed
2025-12-07,delayed
2024-07-06,delayed
2026-04-08,delayed
2024-02-18,delayed
2024-08-15,cancelled
2025-01-30,delayed
2025-08-13,delayed
2026-04-12,unknown
2026-04-03,delayed
2024-01-17,delayed
2026-03-05,delayed
2026-03-26,delayed
2026-01-04,cancelled
2025-12-30,cancelled
2026-04-02,delayed
2025-09-22,delayed
2026-01-10,delayed
2025-02-18,delayed
2025-11-22,delayed
2025-04-11,delayed
2024-06-18,delayed
2025-09-10,delayed
2025-11-11,delayed
2026-04-10,delayed
2025-12-18,delayed
2024-11-12,delayed
2025-09-25,delayed
2024-02-08,delayed
2024-12-20,delayed
2025-03-26,delayed
2024-05-13,delayed
2024-11-18,delayed
2024-07-08,delayed
2025-12-12,delayed
2026-02-02,delayed
2024-11-07,delayed
2024-01-14,delayed
2024-07-26,delayed
2026-02-25,delayed
2025-11-17,delayed
2024-07-30,delayed
2025-12-20,cancelled
2025-01-15,cancelled
2025-08-19,delayed
2025-03-19,delayed
2025-01-29,delayed
2025-01-08,delayed
2024-01-19,cancelled
2024-12-13,delayed
2024-02-10,delayed
2025-11-15,delayed
2024-08-21,delayed
2025-01-07,delayed
2024-09-27,delayed
2025-02-15,delayed
2025-08-06,delayed
2025-04-29,delayed
2025-08-25,delayed
2025-04-14,delayed
2024-12-24,delayed
2024-02-25,cancelled
2024-09-11,delayed
2024-11-21,delayed
2025-10-14,delayed
2024-01-07,delayed
2024-12-01,delayed
2024-09-16,delayed
2024-06-19,delayed
2025-12-13,delayed
2024-10-21,delayed
2024-08-18,delayed
2024-08-27,delayed
2024-04-23,delayed
2024-02-20,delayed
2026-02-20,delayed
2024-05-22,delayed
2025-02-03,delayed
2024-05-23,delayed
2024-04-30,delayed
2026-03-02,delayed
2025-02-14,delayed
2025-02-11,delayed
2026-01-07,delayed
2024-09-13,delayed
